,Transaction ID,Date,value_date,narration,ref_no,mode,merchant_category,repeat_transaction_category,transaction amount  - Debit,transaction amount   - Credit,balance
1,1,01-01-18,01-Jan-18,BY TRANSFER-UPI/800111198841/8334827095@ybl--,TRANSFER FROM 4898939162099,UPI,INCOME,--UNIQUE TRANSACTION-- ,0,428,"2,755.30"
2,2,02-01-18,02-01-18,CSH DEP (CDM)-CDM 040106TERMINUS BUILDING BRANGOPALPUR     WB IN--,,CASH,INCOME,--UNIQUE TRANSACTION-- ,0,2800,"5,555.30"
3,3,03-01-18,03-01-18,BULK POSTING-     00000014528 301217 IRCTC TICKETING INR--,,EFT,INCOME,--UNIQUE TRANSACTION-- ,0,280.83,"5,836.13"
4,4,04-01-18,04-01-18,TO TRANSFER-INB Rent Jan Electricity Dec--,ITP6921030               TRANSFER TO 30202617545,INTERNET BANKING,RENT,--UNIQUE TRANSACTION-- ,-2640,0,"3,196.13"
5,5,06-01-18,06-01-18,BY TRANSFER-INB IMPS800609950345/8334827095/XX0449/IMPS to Ac--,MAC000075303943          MAC000075303943,IMPS,INCOME,--UNIQUE TRANSACTION-- ,0,329,"3,525.13"
6,6,09-01-18,09-01-18,TO TRANSFER-INB Myntra Design Pvt. Ltd.--,051801020379726IGACRPDYD1               TRANSFER T,INTERNET BANKING,SHOPPING,--UNIQUE TRANSACTION-- ,-346.18,0,"3,178.95"
7,7,09-01-18,09-01-18,TO TRANSFER-INB Airtel Money Return--,ITP7604325               TRANSFER TO 34619729916,INTERNET BANKING,INTERNET Transfers,--UNIQUE TRANSACTION-- ,-300,0,"2,878.95"
8,8,10-01-18,10-01-18,by debit card-OTHPG 800917831878FX Mart Pvt. Ltd.     Mumbai--,,Debit Card,SHOPPING,--UNIQUE TRANSACTION-- ,-248.16,0,"2,630.79"
9,9,10-01-18,10-01-18,by debit card-OTHPOS801005867411CHAMPIAN HUB          KOLKATTA--,,Debit Card,FUEL,--UNIQUE TRANSACTION-- ,-100,0,"2,530.79"
10,10,10-01-18,10-01-18,by debit card-OTHPG 801006973105FX Mart Pvt. Ltd.     Mumbai--,,Debit Card,SHOPPING,--UNIQUE TRANSACTION-- ,-499,0,"2,031.79"
11,11,12-01-18,12-01-18,BY TRANSFER-INB IMPS801211776844/1111111111/XX0960/InstantWit--,MAC000077409825          MAC000077409825,IMPS,INCOME,--UNIQUE TRANSACTION-- ,0,248.16,"2,279.95"
12,12,13-01-18,13-01-18,BY TRANSFER-INB Stipend Jan 2018--,CTB8099947               TRANSFER FROM 37270657699,INTERNET BANKING,INCOME,--UNIQUE TRANSACTION-- ,0,3000,"5,279.95"
13,13,15-01-18,15-01-18,BULK POSTING- 736206619360 28-12-17 VL0155346831--,,EFT,INCOME,--UNIQUE TRANSACTION-- ,0,280.7,"5,560.65"
