"","Transaction ID","Date","value_date","narration","ref_no","mode","merchant_category","repeat_transaction_category","transaction amount  - Debit","transaction amount   - Credit","balance"
"1",1,"01/01/2018","","OPENING BALANCE",0,"0","0","--UNIQUE TRANSACTION-- ",0,20609.99,"20609.99"
"2",2,"01/01/2018","01/01/2018","IMPS/P2A/800120007381/8821851112/9 088/OK",0,"IMPS","Bank Transfers","--UNIQUE TRANSACTION-- ",0,11600,"32209.99"
"3",3,"01/01/2018","01/01/2018","PMC/P2A/800120595781/247100111001248PMCB0000247/D",0,"0","Bank Transfers","--UNIQUE TRANSACTION-- ",-11600,0,"20609.99"
"4",4,"02/01/2018","02/01/2018","NEFT-OOPSCODE INFOTECH PRIVATE LIMITED-INDB0110009",0,"NEFT","Bank Transfers","REPEATING TRANSACTION--  NEFT-OOPSCODE INFOTE   172000",0,172000,"192609.99"
"5",5,"02/01/2018","02/01/2018","ACH DEBIT:TP ACH BAJAJ FINANAC,71110941",0,"ACH","Bank- ACH","--UNIQUE TRANSACTION-- ",-24173,0,"53436.99"
"6",6,"02/01/2018","02/01/2018","ACH DEBIT:TP ACH BAJAJ FINANAC,71331999",0,"ACH","Bank- ACH","--UNIQUE TRANSACTION-- ",-17312,0,"36124.99"
"7",7,"02/01/2018","02/01/2018","ACH DEBIT:TP ACH BAJAJ FINANAC,71212322",0,"ACH","Bank- ACH","--UNIQUE TRANSACTION-- ",-17012,0,"134112.99"
"8",8,"02/01/2018","02/01/2018","ACH DEBIT:TP ACH BAJAJ FINANAC,71433894",0,"ACH","Bank- ACH","--UNIQUE TRANSACTION-- ",-12524,0,"121588.99"
"9",9,"02/01/2018","02/01/2018","ACH DR RTN CHGS DTD02 JANUARY18",0,"ACH","Bank- ACH","--UNIQUE TRANSACTION-- ",-115059,0,"6529.99"
"10",10,"03/01/2018","03/01/2018","NEFT-YUVRAJ MANMATH MATHPATI- HDFC0001001",0,"NEFT","Bank Transfers","--UNIQUE TRANSACTION-- ",0,1500,"8029.99"
